DATE,CPIAUCSL_PC1
1969-10-01,5.83255
1970-01-01,6.22677
1970-04-01,6.03843
1970-07-01,5.68592
1970-10-01,5.60000
1971-01-01,4.81190
1971-04-01,4.31406
1971-07-01,4.26985
1971-10-01,3.53535
1972-01-01,3.50584
1972-04-01,3.22581
1972-07-01,3.03030
1972-10-01,3.33333
1973-01-01,4.11290
1973-04-01,5.60897
1973-07-01,6.83625
1973-10-01,8.41857
1974-01-01,9.91479
1974-04-01,10.54628
1974-07-01,11.45833
1974-10-01,12.04644
1975-01-01,11.13460
1975-04-01,9.54015
1975-07-01,8.67824
1975-10-01,7.38342
1976-01-01,6.34115
1976-04-01,6.01504
1976-07-01,5.58968
1976-10-01,5.18697
1977-01-01,5.90340
1977-04-01,6.79669
1977-07-01,6.57359
1977-10-01,6.59404
1978-01-01,6.47523
1978-04-01,7.02822
1978-07-01,8.02402
1978-10-01,8.92953
1979-01-01,9.78318
1979-04-01,10.75491
1979-07-01,11.72309
1979-10-01,12.64198
1980-01-01,14.21002
1980-04-01,14.42577
1980-07-01,12.93532
1980-10-01,12.53836
1981-01-01,11.26107
1981-04-01,9.87352
1981-07-01,10.85302
1981-10-01,9.58317
1982-01-01,7.58150
1982-04-01,6.90680
1982-07-01,5.81647
1982-10-01,4.44365
1983-01-01,3.59408
1983-04-01,3.29976
1983-07-01,2.52646
1983-10-01,3.23349
1984-01-01,4.62585
1984-04-01,4.40484
1984-07-01,4.29570
1984-10-01,4.15430
1985-01-01,3.64109
1985-04-01,3.60709
1985-07-01,3.35249
1985-10-01,3.51377
1986-01-01,3.10540
1986-04-01,1.67858
1986-07-01,1.66821
1986-10-01,1.34557
1987-01-01,2.03833
1987-04-01,3.69917
1987-07-01,4.16287
1987-10-01,4.40555
1988-01-01,3.96541
1988-04-01,3.97995
1988-07-01,4.14236
1988-10-01,4.30636
1989-01-01,4.67451
1989-04-01,5.16019
1989-07-01,4.70588
1989-10-01,4.62732
1990-01-01,5.23288
1990-04-01,4.58345
1990-07-01,5.56447
1990-10-01,6.27648
1991-01-01,5.25905
1991-04-01,4.84661
1991-07-01,3.85200
1991-10-01,2.96536
1992-01-01,2.89389
1992-04-01,3.07352
1992-07-01,3.07467
1992-10-01,3.12197
1993-01-01,3.17308
1993-04-01,3.12500
1993-07-01,2.81723
1993-10-01,2.76930
1994-01-01,2.53961
1994-04-01,2.38260
1994-07-01,2.85517
1994-10-01,2.60333
1995-01-01,2.84026
1995-04-01,3.09535
1995-07-01,2.66398
1995-10-01,2.62631
1996-01-01,2.78392
1996-04-01,2.82709
1996-07-01,2.90013
1996-10-01,3.23140
1997-01-01,2.94497
1997-04-01,2.30179
1997-07-01,2.22505
1997-10-01,1.89076
1998-01-01,1.48256
1998-04-01,1.58333
1998-07-01,1.59619
1998-10-01,1.52577
1999-01-01,1.68724
1999-04-01,2.11239
1999-07-01,2.34646
1999-10-01,2.61982
2000-01-01,3.25779
2000-04-01,3.29383
2000-07-01,3.46890
2000-10-01,3.44350
2001-01-01,3.40976
2001-04-01,3.32491
2001-07-01,2.67823
2001-10-01,1.87488
2002-01-01,1.23176
2002-04-01,1.31728
2002-07-01,1.57628
2002-10-01,2.25352
2003-01-01,2.97641
2003-04-01,2.00594
2003-07-01,2.21689
2003-10-01,2.00184
2004-01-01,1.81785
2004-04-01,2.78587
2004-07-01,2.67486
2004-10-01,3.38495
2005-01-01,3.03517
2005-04-01,2.92294
2005-07-01,3.81975
2005-10-01,3.67468
2006-01-01,3.69087
2006-04-01,3.92427
2006-07-01,3.34012
2006-10-01,1.96540
2007-01-01,2.43165
2007-04-01,2.66529
2007-07-01,2.34897
2007-10-01,4.03114
2008-01-01,4.13704
2008-04-01,4.31042
2008-07-01,5.25250
2008-10-01,1.59580
2009-01-01,-0.18424
2009-04-01,-0.94214
2009-07-01,-1.60696
2009-10-01,1.48766
2010-01-01,2.35257
2010-04-01,1.77527
2010-07-01,1.20288
2010-10-01,1.22978
2011-01-01,2.14822
2011-04-01,3.34611
2011-07-01,3.71595
2011-10-01,3.34473
2012-01-01,2.82932
2012-04-01,1.88792
2012-07-01,1.68486
2012-10-01,1.90357
2013-01-01,1.74020
2013-04-01,1.41472
2013-07-01,1.50495
2013-10-01,1.20730
2014-01-01,1.42991
2014-04-01,2.08034
2014-07-01,1.79097
2014-10-01,1.16401
2015-01-01,-0.11289
2015-04-01,0.03701
2015-07-01,0.15861
2015-10-01,0.40047
2016-01-01,0.99184
2016-04-01,1.11003
2016-07-01,1.15715
2016-10-01,1.80698
2017-01-01,2.58713
2017-04-01,1.89059
2017-07-01,1.94494
2017-10-01,2.10778
2018-01-01,2.24862
2018-04-01,2.68679
2018-07-01,2.60892
2018-10-01,2.21352
2019-01-01,1.63002
2019-04-01,1.82238
2019-07-01,1.74940
2019-10-01,2.04859
2020-01-01,2.12390
2020-04-01,0.42260
2020-07-01,1.23095
2020-10-01,1.22598
2021-01-01,1.89475
2021-04-01,4.79728
2021-07-01,5.26471
2021-10-01,6.75376
2022-01-01,8.02353
2022-04-01,8.59334
2022-07-01,8.28869
2022-10-01,7.09080
2023-01-01,5.74983
2023-04-01,4.03157
2023-07-01,3.56176
2023-10-01,3.23615
2024-01-01,.
